time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 10:6:33.369	WT901BLE68(E947F43FF2E9)	-0.448	0.425	-0.035	-63.049	101.990	115.967	91.74	-36.79	96.14	28.126	-70.756	12.250	0.31778	0.62442	0.33817	0.62820	27.6	13111	100
2025-3-13 10:6:33.433	WT901BLE68(490AABDC0D29)	-0.170	-0.957	-0.094	-32.532	-12.512	-52.246	-94.42	14.26	31.59	26.852	22.736	39.690	0.62262	-0.72583	-0.12970	0.26187	26.9	13111	100
2025-3-13 10:6:33.489	WT901BLE68(E947F43FF2E9)	0.031	0.299	-0.279	-8.057	-61.951	-142.029	91.97	-31.76	88.40	28.126	-70.756	12.250	0.31778	0.62442	0.33817	0.62820	27.6	13111	100
2025-3-13 10:6:33.543	WT901BLE68(490AABDC0D29)	-0.104	-0.982	-0.135	-13.916	-0.977	-38.757	-96.26	9.61	31.57	26.852	22.736	39.690	0.62262	-0.72583	-0.12970	0.26187	26.9	13111	100
2025-3-13 10:6:33.581	WT901BLE68(E947F43FF2E9)	0.922	1.308	-0.222	77.454	-17.578	-254.639	101.05	-9.31	80.77	34.300	-60.368	11.564	0.31778	0.62442	0.33817	0.62820	27.6	13111	100
2025-3-13 10:6:33.634	WT901BLE68(490AABDC0D29)	-0.058	-0.976	-0.147	-6.836	2.625	-40.100	-97.09	5.81	31.03	14.504	31.164	42.924	0.62262	-0.72583	-0.12970	0.26187	26.9	13111	100
2025-3-13 10:6:33.699	WT901BLE68(E947F43FF2E9)	-0.432	1.886	0.188	71.655	13.000	-190.247	109.26	13.82	87.16	34.300	-60.368	11.564	0.31778	0.62442	0.33817	0.62820	27.6	13111	100
2025-3-13 10:6:33.781	WT901BLE68(490AABDC0D29)	-0.259	-0.983	-0.108	-8.911	1.770	-55.969	-97.70	1.37	30.26	14.504	31.164	42.924	0.62262	-0.72583	-0.12970	0.26187	26.9	13111	100
2025-3-13 10:6:33.789	WT901BLE68(E947F43FF2E9)	0.333	1.368	0.082	-46.509	-67.078	101.440	107.93	11.40	87.09	34.300	-60.368	11.564	0.47476	0.59311	0.54874	0.34869	27.6	13111	100
2025-3-13 10:6:33.843	WT901BLE68(490AABDC0D29)	-0.125	-1.554	-0.331	-38.208	57.678	-97.290	-99.51	-5.83	29.41	14.504	31.164	42.924	0.63614	-0.73489	-0.23404	0.02017	26.9	13111	100
