time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-17 11:7:18.409	WT901BLE68(E947F43FF2E9)	0.247	-0.845	-0.293	16.785	-0.244	-23.376	-103.71	2.92	-72.16	-10.290	25.676	3.724	-0.51239	0.62604	-0.47934	0.34003	24.3	13111	100
2025-3-17 11:7:18.462	WT901BLE68(490AABDC0D29)	-0.648	-1.303	-0.232	-29.114	-53.284	-256.042	-103.08	5.21	-3.69	32.046	10.486	34.398	0.60922	-0.79126	-0.04672	-0.02100	22.5	13111	100
2025-3-17 11:7:18.538	WT901BLE68(E947F43FF2E9)	0.210	-0.889	-0.276	17.883	-9.216	-45.593	-102.73	-1.00	-71.93	-23.226	17.542	3.724	-0.51239	0.62604	-0.47934	0.34003	24.3	13111	100
2025-3-17 11:7:18.580	WT901BLE68(490AABDC0D29)	-0.588	-1.363	0.023	-31.006	-115.417	-127.625	-107.66	-10.13	8.91	32.046	10.486	34.398	0.60922	-0.79126	-0.04672	-0.02100	22.5	13111	100
2025-3-17 11:7:18.617	WT901BLE68(E947F43FF2E9)	0.506	-0.893	-0.292	8.667	2.808	-81.726	-101.83	-7.49	-71.58	-23.226	17.542	3.724	-0.51239	0.62604	-0.47934	0.34003	24.3	13111	100
2025-3-17 11:7:18.672	WT901BLE68(490AABDC0D29)	-0.694	-0.922	-0.230	16.724	-81.299	48.584	-109.67	-9.52	18.08	2.842	46.158	43.316	0.60922	-0.79126	-0.04672	-0.02100	22.5	13111	100
2025-3-17 11:7:18.739	WT901BLE68(E947F43FF2E9)	0.229	-0.974	-0.270	16.541	20.386	-75.806	-100.90	-16.28	-72.71	-23.226	17.542	3.724	-0.39499	0.66702	-0.33911	0.53287	24.3	13111	100
2025-3-17 11:7:18.823	WT901BLE68(490AABDC0D29)	0.181	-1.691	-0.074	15.808	-17.944	43.884	-107.79	-5.38	16.08	2.842	46.158	43.316	0.60922	-0.79126	-0.04672	-0.02100	22.5	13111	100
2025-3-17 11:7:18.859	WT901BLE68(E947F43FF2E9)	0.253	-1.713	-0.126	54.260	63.171	-150.452	-96.99	-27.77	-77.64	-23.226	17.542	3.724	-0.39499	0.66702	-0.33911	0.53287	24.3	13111	100
2025-3-17 11:7:18.881	WT901BLE68(490AABDC0D29)	-0.310	-1.307	-0.419	2.869	52.490	66.895	-106.15	0.44	10.80	2.842	46.158	43.316	0.60049	-0.79623	-0.03964	0.06091	22.5	13111	100
2025-3-17 11:7:18.947	WT901BLE68(E947F43FF2E9)	-0.144	0.291	0.126	63.293	-79.651	-42.175	-92.63	-36.68	-77.02	-35.672	-5.194	-1.274	-0.39499	0.66702	-0.33911	0.53287	24.3	13111	100
2025-3-17 11:7:19.1	WT901BLE68(490AABDC0D29)	-0.370	-0.950	-0.249	3.113	37.964	69.275	-105.57	5.97	4.37	2.842	46.158	43.316	0.60049	-0.79623	-0.03964	0.06091	22.5	13111	100
2025-3-17 11:7:19.8	WT901BLE68(E947F43FF2E9)	0.661	-0.590	-0.375	62.439	-155.396	190.430	-95.28	-25.47	-62.94	-35.672	-5.194	-1.274	-0.39499	0.66702	-0.33911	0.53287	24.3	13111	100
2025-3-17 11:7:19.61	WT901BLE68(490AABDC0D29)	-0.500	-0.826	-0.239	-0.977	1.404	61.218	-105.86	11.48	1.88	18.326	34.790	45.864	0.60049	-0.79623	-0.03964	0.06091	22.5	13111	100
